主分類,子分類,難度,題目,答案
社會,2,2,"這個經濟學指數用來衡量一個經濟體內生產的所有最終商品和服務的市場價值總和，是衡量國家經濟活動規模的重要指標。請問這個指數是什麼？",國內生產總值 (Gross Domestic Product / GDP)
社會,2,3,"指市場上商品或服務的供應量超過需求量，導致價格下跌或商品積壓的現象。請問這種市場狀況稱為什麼？",供過於求 (Surplus)
社會,2,4,"這位經濟學家被譽為「現代經濟學之父」，他在著作《國富論》中提出了「看不見的手」等理論，主張自由市場經濟。請問他是誰？",亞當·斯密 (Adam Smith)
社會,2,3,"指一個國家或地區在一定時期內（通常為一年）進口商品和服務的總值超過出口商品和服務的總值。請問這種貿易狀況稱為什麼？",貿易逆差 (Trade Deficit)
社會,3,2,"在股票市場中，這個指數反映香港股票市場表現的主要指標，由恒生指數有限公司編製。請問這個指數是什麼？",恒生指數
社會,3,3,"指企業為了提升品牌形象、促進產品銷售而進行的各種宣傳推廣活動，例如廣告、公關、促銷等。請問這個商業概念是什麼？",市場營銷 (Marketing)
社會,3,1,"指個人或機構借入資金，並承諾在未來償還本金和利息。銀行貸款、發行債券都屬於此類。請問這個金融概念是什麼？",借貸 / 債務 (Debt)
社會,3,4,"這是一份記錄企業在特定時期內經營成果（收入、支出和利潤）的財務報表。請問這份報表稱為什麼？",損益表 (Income Statement / Profit and Loss Statement)
社會,3,2,"指投資者購買公司發行的股票，成為公司的股東，享有分享利潤和參與決策的權利。請問這種投資方式是什麼？",股權投資 (Equity Investment)
社會,4,2,"這位古希臘哲學家是蘇格拉底的學生，柏拉圖學院的創辦者，其著作《理想國》探討了正義、理想城邦等哲學問題。請問他是誰？",柏拉圖 (Plato)
社會,4,3,"這個倫理學概念指行為的道德價值取決於其後果，主張應追求能為最多數人帶來最大幸福的行為。邊沁和彌爾是其代表人物。請問這個倫理學理論是什麼？",功利主義 (Utilitarianism)
社會,4,1,"這是儒家思想的核心概念之一，指內心真誠、待人忠厚、處事正直的品質，是孔子提倡的重要道德規範。請問這個概念是什麼？",仁
社會,4,4,"這位德國哲學家以其批判哲學聞名，代表作有《純粹理性批判》、《實踐理性批判》等，對後世哲學產生深遠影響。請問他是誰？",伊曼努爾·康德 (Immanuel Kant)
社會,4,3,"這個哲學分支探討知識的來源、本質和範圍，研究我們如何知道我們所知道的事物。請問這個哲學分支是什麼？",知識論 (Epistemology)
社會,5,2,"這位奧地利心理學家創立了精神分析學派，提出了潛意識、本我、自我、超我等概念，對理解人類心理和行為產生了深遠影響。請問他是誰？",西格蒙德·佛洛伊德 (Sigmund Freud)
社會,5,3,"在社會學中，指個人在一生中社會地位的變化，可以是向上流動（地位提升），也可以是向下流動（地位下降）。請問這個概念是什麼？",社會流動 (Social Mobility)
社會,5,4,"這個心理學實驗由斯坦利·米爾格拉姆進行，測試人們在權威壓力下服從命令的程度，即使命令可能傷害他人。請問這個著名實驗是什麼？",米爾格拉姆實驗 (Milgram experiment)
社會,5,2,"指社會成員共同接受和遵循的行為規範和價值觀念，對維持社會秩序和凝聚力至關重要。請問這個社會學概念是什麼？",社會規範 (Social Norms)
社會,5,3,"根據馬斯洛的需求層次理論，這是人類最高層次的需求，指個人潛能的充分實現和自我價值的追求。請問這個需求層次是什麼？",自我實現 (Self-actualization)
社會,6,1,"這是伊斯蘭教穆斯林每年必須履行的五功之一，指在齋戒月期間，從日出到日落禁食、禁飲及禁止其他特定行為。請問這項宗教功課是什麼？",齋戒 (Sawm)
社會,6,2,"在佛教中，指眾生因過去的行為（業）而在生死世界中不斷輪迴轉世的過程。請問這個概念是什麼？",輪迴 (Samsara)
社會,6,3,"這是一種古老的占卜方式，透過觀察和解釋天空中星體的位置和運動來預測個人命運或事件發展。請問這種占卜方式是什麼？",占星術 (Astrology)
社會,6,2,"這是基督宗教的重要節日，紀念耶穌基督的誕生，通常在每年的12月25日慶祝。請問這個節日是什麼？",聖誕節
社會,6,4,"指相信超自然力量或神秘現象存在的觀念體系，常涉及魔法、占卜、通靈等實踐，與主流科學和宗教有所區別。請問這類觀念體系統稱為什麼？",神秘學 (Occultism)
社會,7,2,"指媒體在報導新聞時，未經查證便發布，或刻意扭曲事實以達到特定目的，可能造成公眾誤解。請問這種不實報導被稱為什麼？",假新聞 / 虛假訊息
社會,7,3,"這個國際協議旨在應對全球氣候變化問題，目標是將全球平均氣溫升幅控制在工業化前水平以上低於2°C之內，並努力限制在1.5°C。請問這個協議是什麼？",巴黎協定 (Paris Agreement)
社會,7,1,"指在全球範圍內爆發並廣泛傳播的傳染病，例如2019年底開始的COVID-19。請問這種規模的疫情稱為什麼？",大流行病 (Pandemic)
社會,7,4,"指一國政府為保護本國產業，對進口商品設置關稅壁壘、配額限制等措施，以限制外國商品進入國內市場。請問這種政策取向稱為什麼？",貿易保護主義 (Trade Protectionism)
社會,7,3,"每年在瑞士達沃斯舉行的世界經濟論壇，聚集全球政商領袖探討經濟問題。請問這個年度會議通常被簡稱作什麼？",達沃斯論壇 (Davos Forum)
社會,8,2,"這是一種以偽裝融入周圍環境為主要手段的軍事戰術，士兵穿著迷彩服、車輛塗上迷彩圖案都屬於此類。請問這種戰術稱為什麼？",偽裝 (Camouflage)
社會,8,1,"這是一種大規模殺傷性武器，利用核反應釋放的巨大能量造成毀滅性打擊。廣島和長崎曾遭受其攻擊。請問這種武器是什麼？",原子彈 / 核武器
社會,8,3,"這個軍事聯盟成立於冷戰初期，由北美和歐洲國家組成，旨在集體防禦任何成員國受到的攻擊。請問這個組織是什麼？",北大西洋公約組織 (NATO)
社會,8,4,"指一個國家維持的常備武裝力量，包括陸軍、海軍、空軍等軍種，負責國防和執行軍事任務。請問這個總稱是什麼？",軍隊
社會,8,3,"在海軍中，這種大型水面戰艦以搭載和起降飛機為主要作戰方式，是現代海軍的核心力量。請問這種戰艦是什麼？",航空母艦
社會,9,3,"這門社會科學研究人類社會的起源、發展、文化、信仰、社會結構和行為。請問這門學科是什麼？",人類學 (Anthropology)
社會,9,2,"在日本，指因工作過度而導致死亡的現象，反映了某些職場文化中的極端壓力。請問這個現象的日文詞彙是什麼？",過勞死 (Karoshi)
社會,9,4,"這是一種社會福利制度，由政府向符合資格的國民（如退休人士、失業者、殘疾人士）提供定期的金錢援助。請問這種制度稱為什麼？",社會保障 (Social Security)
社會,9,3,"這個概念指全球各國在經濟、政治、文化等方面日益緊密聯繫、相互依存的過程。請問這個概念是什麼？",全球化 (Globalization)
社會,9,2,"指一個社會中不同文化群體共同存在，並保持各自文化特色的狀態，強調對多元文化的尊重和包容。請問這個概念是什麼？",多元文化主義 (Multiculturalism)
生活,0,1,"這種由發酵的黃豆製成的調味料，在日本料理中用途廣泛，用於製作湯、醃漬物和調味醬等。請問這是什麼？",味噌
生活,0,2,"這是一種意大利麵食，通常呈細長圓柱形，是最常見和廣受歡迎的麵條種類之一。請問這是什麼麵食？",意粉 (Spaghetti)
生活,0,1,"這種起源於廣東順德的甜點，以牛奶、糖和蛋白混合後燉製而成，口感滑嫩。請問這是什麼甜點？",雙皮奶
生活,0,3,"這種烹調方法是將食材放入密閉的真空袋中，然後置於恆定溫度的水中長時間慢煮，以達到精確的熟度和保持食材水分。請問這種烹調方法是什麼？",真空低溫烹調法 (Sous-vide)
生活,0,2,"這種黑色的發酵茶，經過完全氧化過程，是世界上最受歡迎的茶類之一，例如錫蘭茶、阿薩姆茶等。請問這是什麼茶？",紅茶
生活,1,2,"這種起源於美國的藍色斜紋布褲，最初是工人的工作服，現已成為全球流行的休閒服飾。請問這是什麼褲子？",牛仔褲
生活,1,3,"這個法國奢侈品牌以其雙C標誌、菱格紋手袋和小黑裙而聞名，創始人是可可·香奈兒。請問這個品牌是什麼？",香奈兒 (Chanel)
生活,1,1,"指穿著打扮的風格和品味，涵蓋服裝、髮型、化妝、配飾等方面，通常隨時間和文化而變化。請問這個詞語是什麼？",時尚 (Fashion)
生活,1,4,"這是一種主要由碳元素組成的珍貴寶石，以其極高的硬度和璀璨的光澤聞名，常用於製作戒指等首飾。請問這是什麼寶石？",鑽石
生活,1,2,"這種傳統的日本服裝，通常有寬袖和腰帶，在特殊場合如婚禮、祭典時穿著。請問這是什麼服裝？",和服
生活,2,1,"這是香港一種常見的儲值卡，可用於支付公共交通費用、在便利店和快餐店購物等，使日常生活更加便捷。請問這張卡是什麼？",八達通卡
生活,2,2,"在香港，指政府興建並以低於市值的價格或租金提供給符合資格市民居住的房屋。請問這類房屋統稱為什麼？",公共房屋 (公屋)
生活,2,3,"香港法定最低時薪是指僱主須支付給僱員的最低工資標準，請問釐定和檢討這個標準的委員會叫甚麼名稱?",最低工資委員會
生活,2,1,"這是香港市民身份證明文件的名稱，由入境事務處簽發，是市民日常生活中重要的身份證明。請問這份文件是什麼？",香港身份證
生活,2,3,"這個設於香港國際機場旁的展覽及活動場館，是亞洲規模最大的展覽館之一，經常舉辦大型展覽、會議和演唱會。請問這個場館是什麼？",亞洲國際博覽館
生活,3,2,"指在戶外搭建帳篷過夜，並進行野餐、遠足、觀察自然等活動的休閒方式。請問這種興趣活動是什麼？",露營 (Camping)
生活,3,1,"指種植和照料花卉、蔬菜、樹木等植物的興趣或專業活動，可以在花園、陽台或室內進行。請問這種興趣活動是什麼？",園藝 (Gardening)
生活,3,3,"這種使用彩色毛線或棉線，透過鉤針編織出各種物品（如玩偶、圍巾、杯墊）的手工藝。請問這種手藝是什麼？",鉤織 (Crocheting)
生活,3,2,"指收集特定種類物品的興趣愛好，例如郵票、硬幣、模型、古董等。請問這種興趣愛好是什麼？",收藏 (Collecting)
生活,3,4,"這是一種桌面角色扮演遊戲，玩家扮演虛構角色，在一位主持人的引導下，根據規則共同創造故事和冒險經歷。請問這種遊戲類型是什麼？",龍與地下城 (Dungeons & Dragons / D&D) (雖然是特定遊戲，但已成類型代表)
生活,4,1,"這家美國公司是全球最大的咖啡連鎖店，以其綠色美人魚標誌和各種咖啡飲品聞名。請問這家公司是什麼？",星巴克 (Starbucks)
生活,4,2,"這家瑞典公司是全球最大的傢具零售商，以其簡約設計、平板包裝和自行組裝的傢具聞名。請問這家公司是什麼？",宜家家居 (IKEA)
生活,4,3,"這個國際非牟利組織致力於在全球範圍內保護瀕危物種及其棲息地，其標誌是一隻大熊貓。請問這個組織是什麼？",世界自然基金會 (WWF)
生活,4,1,"這家美國公司以其搜索引擎服務聞名，並提供地圖、電子郵件、雲端儲存等多種網絡服務和產品。請問這家公司是什麼？",Google (谷歌)
生活,4,2,"這家韓國電子公司是全球主要的智能手機、電視和半導體製造商之一，旗下Galaxy系列手機廣受歡迎。請問這家公司是什麼？",三星 (Samsung)
生活,5,2,"指為了健康而攝取均衡的食物，包含適量的蛋白質、碳水化合物、脂肪、維生素和礦物質。請問這個概念是什麼？",均衡飲食
生活,5,1,"為了節省能源和保護環境，將廢棄物分類回收，以便循環再造或妥善處理。請問這個環保行為是什麼？",垃圾分類 / 廢物回收
生活,5,3,"指在發生火災、地震等緊急情況時，應採取的安全疏散和自救措施。請問這個概念是什麼？",應急避難 / 緊急應變
生活,5,2,"指個人資料和網上活動記錄等私密信息不被非法獲取或濫用的權利。請問這個權利是什麼？",私隱 (Privacy)
生活,5,4,"指透過網路平台進行的詐騙行為，例如假冒身份騙取金錢、網絡釣魚盜取個人資料等。請問這類行為統稱為什麼？",網絡詐騙 (Online scam)
歷史,0,2,"這位被譽為「香港電影之父」的人物，對香港早期電影發展有重要貢獻，創辦了華美製片公司，並編導了多部電影。請問他是誰？",黎民偉
歷史,0,3,"這位香港商人是匯豐銀行的主要創辦人之一，並曾擔任立法局非官守議員，對香港早期的經濟和社會發展有影響力。請問他是誰？",湯瑪士·修打蘭 (Thomas Sutherland)
歷史,0,4,"這位醫生在19世紀末至20世紀初在香港行醫，是香港西醫書院（香港大學醫學院前身）的首任教務長，孫中山是其學生之一。請問他是誰？",康德黎 (James Cantlie)
歷史,0,2,"這位第25任香港總督在任期間推行了政改方案，設立了部分直選議席，並見證了香港主權移交前的過渡時期。請問他是誰？",彭定康 (Chris Patten)
歷史,0,3,"這位慈善家對香港的教育和醫療貢獻良多，創辦了東華三院和保良局，是19世紀末香港華人社會的領袖人物。請問他是誰？",何啟
歷史,1,2,"這位皇帝是中國歷史上第一個統一全國的君主，推行書同文、車同軌、統一度量衡等措施，並修建了長城。請問他是誰？",秦始皇
歷史,1,3,"這位思想家是儒家學派的創始人，其思想以「仁」、「禮」為核心，對中國及東亞文化產生了深遠影響，被尊為「至聖先師」。請問他是誰？",孔子
歷史,1,4,"這個時期是中國歷史上思想文化空前繁榮的時代，儒家、道家、法家、墨家等各種思想流派湧現，互相辯論爭鳴。請問這個時期稱為什麼？",春秋戰國 / 百家爭鳴
歷史,1,2,"這位漢朝皇帝在位期間，採取休養生息政策，使社會經濟得以恢復發展，開創了「文景之治」的盛世局面。請問他是誰？",漢文帝 (劉恆) 或 漢景帝 (劉啟) (文景之治通常指兩位皇帝，可接受其一) -> 改問更明確的漢武帝
歷史,1,2,"這位漢朝皇帝在位期間，採取「罷黜百家，獨尊儒術」的政策，並對外征伐匈奴，擴張了漢朝的疆域，開通了絲綢之路。請問他是誰？",漢武帝 (劉徹)
歷史,1,3,"這位三國時期蜀漢的丞相，以其智慧和忠誠著稱，輔佐劉備建立蜀漢政權，並多次北伐曹魏，「鞠躬盡瘁，死而後已」。請問他是誰？",諸葛亮
歷史,2,2,"這位唐朝皇帝在位期間開創了「貞觀之治」的盛世局面，以虛心納諫、輕徭薄賦聞名。請問他是誰？",唐太宗 (李世民)
歷史,2,3,"這位女皇帝是中國歷史上唯一得到普遍承認的女皇帝，改國號為周，統治期間社會較為穩定，經濟有所發展。請問她是誰？",武則天
歷史,2,1,"這位北宋時期的政治家、文學家推行變法，試圖富國強兵，但變法引發了巨大爭議並最終失敗。請問他是誰？",王安石
歷史,2,4,"這位航海家在明朝永樂年間，率領龐大船隊七次下西洋，遠航至東南亞、印度洋乃至非洲東岸，促進了中外交流。請問他是誰？",鄭和
歷史,2,3,"這位清朝皇帝在位長達61年，是中國歷史上在位時間最長的皇帝，他在位期間平定了多處叛亂，鞏固了清朝的統治。請問他是誰？",康熙帝
歷史,3,2,"這位晚清重臣是洋務運動的主要領導人之一，創辦了江南製造總局、輪船招商局等，並組建了北洋水師。請問他是誰？",李鴻章
歷史,3,1,"這位革命家被尊稱為「中華民國國父」，領導辛亥革命推翻了清朝統治，建立了中華民國。請問他是誰？",孫中山 (孫文)
歷史,3,3,"指1919年在中國北京爆發的一場以青年學生為主的愛國運動，抗議巴黎和會對山東問題的處理，並引發了全國性的反帝反封建浪潮。請問這場運動是什麼？",五四運動
歷史,3,2,"這位中華人民共和國的主要締造者和第一代最高領導人，領導中國共產黨取得了革命勝利，並對中國的政治、經濟和社會產生了深遠影響。請問他是誰？",毛澤東
歷史,3,4,"指1937年至1945年期間，中華民國抵抗日本全面侵略的戰爭，是第二次世界大戰的重要組成部分。請問這場戰爭稱為什麼？",中國抗日戰爭 (八年抗戰)
歷史,4,2,"這位馬其頓國王是亞里士多德的學生，繼承王位後東征西討，建立了橫跨歐亞非的龐大帝國，促進了希臘文化的傳播。請問他是誰？",亞歷山大大帝
歷史,4,1,"這是古埃及國王（法老）為自己修建的陵墓，外形呈金字塔狀，是古埃及文明的象徵。請問這種建築是什麼？",金字塔
歷史,4,3,"這位羅馬共和國末期的軍事家、政治家，曾與龐培、克拉蘇組成「前三頭同盟」，後成為獨裁官，最終被刺殺。請問他是誰？",尤利烏斯·凱撒 (Julius Caesar)
歷史,4,4,"指公元5世紀至15世紀的歐洲歷史時期，介於西羅馬帝國滅亡與文藝復興之間，封建制度和基督教是其重要特徵。請問這個時期稱為什麼？",中世紀 (Middle Ages)
歷史,4,3,"這位法蘭克王國的國王統一了西歐大部分地區，並由教宗加冕為「羅馬人的皇帝」，對歐洲的形成有重要影響。請問他是誰？",查理曼大帝 (Charlemagne)
歷史,5,2,"這場始於意大利，後擴展至歐洲各地的思想文化運動，旨在復興古希臘羅馬的文化藝術，湧現了達文西、米開朗基羅等巨匠。請問這場運動是什麼？",文藝復興 (Renaissance)
歷史,5,3,"這位航海家在西班牙王室支持下，於1492年率領船隊向西航行，意外到達美洲大陸，開啟了歐洲人探索和殖民美洲的時代。請問他是誰？",克里斯多福·哥倫布 (Christopher Columbus)
歷史,5,1,"這位德國神學家發起了宗教改革運動，反對羅馬天主教會的贖罪券等做法，創立了新教（路德宗）。請問他是誰？",馬丁·路德 (Martin Luther)
歷史,5,4,"這位英國女王在位期間，英國擊敗了西班牙無敵艦隊，國力達到鼎盛，文化藝術也空前繁榮，被稱為「黃金時代」。請問她是誰？",伊莉莎白一世 (Elizabeth I)
歷史,5,3,"這位法國國王以「朕即國家」而聞名，在位期間大力加強中央集權，修建了凡爾賽宮，使法國成為歐洲強國。請問他是誰？",路易十四 (Louis XIV)
歷史,6,2,"這位法蘭西第一帝國的皇帝，是傑出的軍事家和政治家，透過戰爭擴張法國版圖，頒布了《民法典》，但最終兵敗滑鐵盧。請問他是誰？",拿破崙·波拿巴 (Napoleon Bonaparte)
歷史,6,1,"指18世紀下半葉始於英國，後擴展至全球的技術革新和社會經濟轉型，以蒸汽機的發明和應用為標誌。請問這場變革是什麼？",工業革命
歷史,6,3,"這位美國總統領導了南北戰爭，維護了國家統一，並頒布了《解放奴隸宣言》，廢除了奴隸制度。請問他是誰？",亞伯拉罕·林肯 (Abraham Lincoln)
歷史,6,4,"指1914年至1918年間爆發的全球性戰爭，主要戰場在歐洲，同盟國與協約國兩大陣營對抗，造成巨大傷亡。請問這場戰爭是什麼？",第一次世界大戰
歷史,6,2,"這位英國首相在第二次世界大戰期間領導英國抵抗納粹德國的侵略，以其堅定的意志和鼓舞人心的演講而聞名。請問他是誰？",溫斯頓·邱吉爾 (Winston Churchill)
歷史,7,2,"這門學科研究人類過去遺留下來的物質文化，透過發掘、分析遺址和遺物來了解古代社會。請問這門學科是什麼？",考古學
歷史,7,3,"指保存在博物館、圖書館或檔案館中的古代書籍、手稿、器物等具有歷史價值的物品。請問這些物品統稱為什麼？",文物 / 古物 (Artifact)
歷史,7,1,"在歷史研究中，指由事件親歷者或與事件同時代的人所記錄或製作的原始資料，例如書信、日記、官方文件等。請問這類資料稱為什麼？",第一手資料 (Primary source)
歷史,7,4,"這個位於埃及尼羅河三角洲的石碑，刻有古埃及象形文字、世俗體和古希臘文三種文字，為解讀古埃及文字提供了關鍵線索。請問這個石碑是什麼？",羅塞塔石碑 (Rosetta Stone)
歷史,7,3,"指根據年代順序記述歷史事件的史書體裁，例如《資治通鑑》。請問這種體裁稱為什麼？",編年體
語言,0,1,"這句廣東話俗語形容一個人做事馬虎、敷衍了事，好像鬼畫的符咒一樣難以辨認。請問這句俗語是什麼？",鬼畫符
語言,0,2,"這句廣東話歇後語用來形容假仁假義、貓哭老鼠的行為。請問這句歇後語是什麼？",貓哭老鼠——假慈悲
語言,0,3,"這句廣東話俗語比喻白費心機、徒勞無功，好像竹籃打水一樣。請問這句俗語是什麼？",竹籃打水——一場空
語言,0,1,"這句廣東話形容一個人非常吝嗇、一毛不拔。請問這句俗語是什麼？",孤寒
語言,0,2,"這句廣東話俗語指占別人小便宜，或者順手拿走不屬於自己的東西。請問這句俗語是什麼？",順手牽羊
語言,1,2,"這句英語諺語的意思是「熟能生巧」，強調反覆練習的重要性。請問這句諺語是什麼？",Practice makes perfect.
語言,1,1,"這句俗語比喻自欺欺人，不敢面對現實，源自一個寓言故事。請問這句俗語是什麼？",掩耳盜鈴
語言,1,3,"這句諺語的意思是不要以貌取人，不能單憑外表判斷人或事物的價值。請問這句諺語是什麼？",人不可貌相 / 不能以貌取人 (Don't judge a book by its cover)
語言,1,2,"這句俗語比喻多此一舉，做了不必要或重複的事情。請問這句俗語是什麼？",畫蛇添足
語言,1,3,"這句諺語提醒人們在下結論或採取行動前要仔細思考、觀察清楚。請問這句諺語是什麼？",三思而後行 (Look before you leap)
語言,2,1,"這個成語比喻技術或技藝非常純熟、精湛，就像庖丁解剖牛一樣。請問這個成語是什麼？",庖丁解牛
語言,2,2,"這個成語形容景色美麗、引人入勝，讓人不想離開。請問這個成語是什麼？",流連忘返
語言,2,1,"這個成語比喻說話、做事前後矛盾，無法自圓其說。請問這個成語是什麼？",自相矛盾
語言,2,3,"這個成語形容軍隊紀律嚴明，秋天時連百姓的毫毛都不會侵犯。請問這個成語是什麼？",秋毫無犯
語言,2,2,"這個成語比喻學習或做事沒有恆心，不能堅持到底。請問這個成語是什麼？",半途而廢
語言,3,1,"現代漢語書寫系統中用來標示字音的符號系統，基於拉丁字母。請問這個系統是什麼？",漢語拼音
語言,3,2,"在漢字中，這類字由兩個或多個意符組合而成，表示一個新的意義，例如「休」（人依傍樹木休息）。請問這類字稱為什麼？",會意字
語言,3,3,"這種修辭手法是將兩個意思相反或相對的詞語或句子並列，以形成對比，增強表達效果。請問這種修辭手法是什麼？",對比 / 對照
語言,3,1,"指詞語除了字面意思之外，所蘊含的深層或引申的意義。請問這個概念是什麼？",涵義 / 言外之意 (Connotation)
語言,3,2,"漢語語法中，用來修飾或限制名詞、代詞的詞語，說明事物的性質、狀態、數量等。請問這類詞語稱為什麼？",定語
語言,4,1,"英文中用來表示名詞單數或複數、特定或非特定概念的詞，例如 a, an, the。請問這類詞稱為什麼？",冠詞 (Article)
語言,4,2,"英文句子中，表示動作或狀態的詞語，通常有人稱、時態、語態等變化。請問這類詞稱為什麼？",動詞 (Verb)
語言,4,3,"這個英文縮寫詞代表「常見問題解答」，通常用於網站或文件中，解答使用者可能遇到的常見疑問。請問這個縮寫詞是什麼？",FAQ (Frequently Asked Questions)
語言,4,1,"指兩個或多個單字組成，具有特定意義的固定詞組，其意義往往不能從字面推斷，例如 "kick the bucket"。請問這類詞組稱為什麼？",習語 / 成語 (Idiom)
語言,4,2,"英文語法中，用來連接單字、片語或子句的詞語，例如 and, but, or, because。請問這類詞稱為什麼？",連接詞 (Conjunction)
語言,5,2,"這種源於古印度的語言，是印度教、佛教和耆那教的古典語言，也是現代多種印度語言的基礎。請問這是什麼語言？",梵語 (Sanskrit)
語言,5,1,"這是世界上最多人使用的輔助人造語言，由波蘭眼科醫生柴門霍夫於19世紀末創立，旨在促進國際交流。請問這是什麼語言？",世界語 (Esperanto)
語言,5,3,"這種羅曼語族的語言是法國、比利時、瑞士、加拿大等多個國家的官方語言，以其發音優美著稱。請問這是什麼語言？",法語 (French)
語言,5,2,"這種在西班牙和拉丁美洲廣泛使用的羅曼語族語言，是世界上母語使用者第二多的語言。請問這是什麼語言？",西班牙語 (Spanish)
語言,5,4,"這種字母系統主要用於書寫俄語、保加利亞語等斯拉夫語族語言，由希臘字母發展而來。請問這是什麼字母系統？",西里爾字母 (Cyrillic alphabet)
語言,6,2,"這門語言學分支研究詞語的內部結構和形成規則，例如詞根、詞綴、屈折變化等。請問這門分支是什麼？",構詞學 / 形態學 (Morphology)
語言,6,3,"這門語言學分支研究語音的物理屬性和發聲機制，分析聲音的產生、傳播和感知。請問這門分支是什麼？",語音學 (Phonetics)
語言,6,1,"指一種語言在特定地區或社會群體中形成的變體，在語音、詞彙、語法等方面可能與標準語有所不同。請問這個概念是什麼？",方言 (Dialect)
語言,6,4,"這位瑞士語言學家被譽為「現代語言學之父」，提出了語言是符號系統、區分語言和言語等重要理論。請問他是誰？",費迪南·德·索緒爾 (Ferdinand de Saussure)
語言,6,3,"這門語言學分支研究句子結構和語法規則，分析詞語如何組合成合乎語法的句子。請問這門分支是什麼？",句法學 (Syntax)
語言,7,2,"指同一個詞語擁有多個相關或不相關的意義，例如「花」可以指植物的花朵，也可以指花費。請問這個語言現象是什麼？",多義詞 (Polysemy)
語言,7,1,"指為盲人設計，透過觸摸凸起的點來閱讀和書寫的文字系統。請問這個系統是什麼？",盲文 / 點字 (Braille)
語言,7,3,"指在對話或寫作中，根據聽者、讀者或場合的不同，而調整使用的語言風格和詞彙。請問這個概念是什麼？",語域 (Register)
語言,7,4,"指語言隨著時間推移而發生的語音、詞彙、語法等方面的變化。請問這個過程是什麼？",語言演變 (Language change)
語言,7,2,"指一種語言中，發音相同但意義和寫法不同的詞語，例如中文的「晴」和「情」。請問這類詞語稱為什麼？",同音詞 (Homophone)
運動,0,2,"這項運動使用長方形球桌，中間有球網，運動員用球拍擊打輕巧的空心球，可以是單打或雙打。請問這項運動是什麼？",乒乓球 (Table Tennis)
運動,0,1,"這項運動在一片由球網分隔的場地上進行，運動員用球拍將球擊過網，目標是讓對手無法回擊。溫布頓網球錦標賽是其著名賽事。請問這項運動是什麼？",網球 (Tennis)
運動,0,3,"這項運動在設有18個洞的場地上進行，參與者使用不同類型的球桿，將一個小球打入指定的洞中，桿數越少越好。請問這項運動是什麼？",高爾夫球 (Golf)
運動,0,2,"這項運動在一個有球道的場地上進行，參與者將一個重球滾向排列成三角形的十個球瓶，目標是擊倒盡可能多的球瓶。請問這項運動是什麼？",保齡球 (Bowling)
運動,0,3,"這項運動使用帶羽毛的球，運動員用球拍將球擊過網，羽毛球的飛行軌跡與其他球類不同。請問這項運動是什麼？",羽毛球 (Badminton)
運動,1,1,"這項團體運動在長方形場地上進行，兩隊各11名球員，主要用腳踢一個球，目標是將球射入對方球門。世界盃是其最高級別賽事。請問這項運動是什麼？",足球 (Football / Soccer)
運動,1,1,"這項團體運動在長方形場地上進行，兩隊各5名球員，用手拍運一個球，目標是將球投入對方籃框得分。NBA是其著名職業聯賽。請問這項運動是什麼？",籃球 (Basketball)
運動,1,2,"這項團體運動在室內場地進行，兩隊各6名球員，用手擊打一個球過網，目標是讓球落在對方場地內得分。請問這項運動是什麼？",排球 (Volleyball)
運動,1,3,"這項團體運動起源於美國，兩隊各9名球員，使用球棒擊打投手投來的球，並在四個壘包之間跑壘得分。請問這項運動是什麼？",棒球 (Baseball)
運動,1,4,"這項團體運動在冰面上進行，兩隊球員穿著冰鞋，用球桿擊打一個硬質橡膠圓盤（冰球），目標是將其射入對方球門。請問這項運動是什麼？",冰上曲棍球 (Ice Hockey)
運動,2,1,"這項水上運動是運動員從不同高度的跳台或跳板上，以特定姿勢躍入水中，評分根據動作的美觀和難度。請問這項運動是什麼？",跳水 (Diving)
運動,2,2,"這項運動包含多種以跑、跳、擲為基礎的項目，例如短跑、長跑、跳高、跳遠、標槍等，是奧運會的基礎大項。請問這類運動統稱為什麼？",田徑 (Athletics)
運動,2,1,"這項運動是運動員利用雙腳踩踏自行車前進，可以是在公路、山地或室內場地進行競速或技巧表演。環法自行車賽是其著名賽事。請問這項運動是什麼？",單車 / 自行車 (Cycling)
運動,2,3,"這項運動是運動員在規定的器械上完成一系列體操動作，展現力量、柔韌性、協調性和平衡感，分為競技體操、藝術體操等。請問這項運動是什麼？",體操 (Gymnastics)
運動,2,2,"這項水上運動是運動員在水中依靠自身動作前進，有自由式、蛙式、蝶式、仰式等多種泳姿。請問這項運動是什麼？",游泳 (Swimming)
運動,3,3,"這項運動挑戰攀登高海拔山峰，需要專業的裝備、技能和體能，面對嚴峻的自然環境。請問這項運動是什麼？",登山 (Mountaineering)
運動,3,2,"這項運動是利用繩索和保護裝備，在天然岩壁或人工岩牆上攀爬。請問這項運動是什麼？",攀岩 (Rock Climbing)
運動,3,1,"這項水下活動是穿戴潛水裝備（如氣瓶、面鏡），潛入水中觀察海洋生物或進行水下探索。請問這項活動是什麼？",水肺潛水 (Scuba Diving)
運動,3,4,"這項運動起源於法國，強調利用跑、跳、攀爬等動作，快速有效地穿越城市或自然環境中的障礙物。請問這項運動是什麼？",跑酷 / 飛躍道 (Parkour)
運動,3,3,"這項水上運動是站在衝浪板上，利用海浪的力量滑行。請問這項運動是什麼？",衝浪 (Surfing)
