題目,答案,難度,主分類,子分類
位於西亞，但由於政治因素，此國家的足球隊隸屬歐洲足協。請問這個主要民族為猶太人的國家是？,以色列 Israel,5,地理,地理Crossover
劃線、得取、以二十個為單位、樂譜、分數，請問以上概念均可以用哪一個英文詞彙表達？,Score,3.5,語言,英文
形容別人衣著打扮突兀，舉止笨拙失禮，性格古怪，不符合社會標準，和「奇離」讀音相似的廣東話詞語是？,騎呢【ke4 le4】,3,語言,廣東話
截至2022年10月，香港歷史上票房最高的華語電影是票房達七千八百萬的《明日戰記》，那麼第二高的華語電影，是哪一套票房達七千二百萬、由黃子華等人主演的2022年賀歲片？,飯氣攻心 Table for Six,4.7,娛樂,電影（香港）
迪士尼的第一套經典動畫長片是《白雪公主》，那麼迪士尼的最後一套經典動畫長片是哪一套以小荳、咿唷、豬仔、跳跳虎等角色為主角的電影？,小熊維尼 Winnie the Pooh,1,娛樂,映視劇集
他的夫人是有霍英東姪女霍慧芬，2014年因為提出新的高官保障制度而引發示威，被指普通話程度差，2009年至2019年擔任澳門特別行政區行政長官的官員是？,崔世安 Fernando Chui Sai-on,2.8,社會,政治
來源自江戶時代，古時指德川氏中除德川將軍家外，擁有幕府將軍繼承權的三大旁系，現今被用來統稱一個領域中最著名的三者。請問這個用詞是？,御三家 ごさんけ,3.8,歷史,世界史（近世）
建於大清德宗光緒三十二年，原名大茅蓬，由江蘇鎮江金山寺三名禪師籌建，現時寺內景點包括大雄寶殿、回歸寶鼎、天壇大佛，請問此坐落於鳳凰山與彌勒山間的佛教寺廟是？,寶蓮禪寺 Po Lin Monastery,0,社會,宗教、神秘學
代表作有《手錶》、《前》、《我不是丘比特》等，2022年4月參加音樂真人實境 show 節目《聲生不息》，留有一頭爆炸頭的香港男歌手是？,曾比特,3.8,娛樂,廣東流行音樂
作為香港歌手古巨基於2006年推出之一首歌曲名稱，於廣東俗語中意指倒霉，請問此個同時作為香港演員姜皓文暱稱之二字詞是？,黑仔,4.5,語言,廣東話
原本指排水量大的船沉入水下部分很深，請問這個在廣東話中同時可以指商家或者中介人謀取暴利的行為是？,食水深,5,語言,諺語、俗語
現時美國眾議院議長是加州第十二選區代表民主黨佩洛西，請問美國參議院議長是哪一位美國副總統呢？,賀錦麗 Kamala Harris,5,社會,政治
作為互聯網的元數據標籤類型之一，通常使用在社交網站的貼文之中，讓用戶可以連結到有相同標籤的貼文中。請問這個以一個井號加一句短句組成的標籤是？,Hashtag 主題標籤,3.3,生活,生活（其他）
清末民初時期多由男性穿著，戰後逐漸改為由女性穿著為主流，不少傳統中學亦以之作為女裝校服，請問此種改良自滿服、常被誤認為旗袍之中國傳統服裝係？,長衫 Cheongsam,0,生活,服飾、時尚
這個反應指人受到寒冷、恐懼或者其他刺激時，皮膚上的立毛肌收縮，將體毛豎起。請問這種生理反應是？,起雞皮 Goosebumps,4,理科,生物學
1977年以「早機去，晚機返，玩足七天」宣傳各款東南亞旅行團，2010年遭捲入人質事件，2022年10月全線結業的旅行社是？,康泰旅行社 Hong Thai Travel,4.6,生活,企業團體
貓在繁體字的部首係從豸（音：字zi6），請問貓在簡體字的部首是從？,犬,4.3,語言,中文
假設以靜止狀態開始，物體在這狀態時的移動距離為「二分一乘重力加速度乘時間平方」，物理學中指只有重力作用於物體上的墜落方式是？,自由落體 Free Fall,5,理科,物理學
請問香港小食咖喱三寶，所指的三種食材，分別是豬皮、蘿蔔以及？,魚蛋,3,生活,飲食
第一屆於1997年橫跨中港兩地舉行，近年路線經過青馬大橋、西區海底隧道、香港會議展覽中心等地標，2022年賽事因未獲政府批准而一度取消，最後於2023年2月舉辦的比賽是？,渣打香港馬拉松 Standard Chartered Hong Kong Marathon,3.2,運動,個人非球類
驚天動地、鐵甲無敵、宇宙無敵、超級遊戲、開心無敵、超級無敵，請問以上四字詞加上哪三個字就會成為TVB長壽遊戲節目系列的名稱？,獎門人,3,娛樂,映視劇集
它是古代的一種親子鑑定方式，做法是把雙方的血滴在容器內，如果血液能夠混合便能證明雙方的血緣關係，請問這一種方法是？,滴血驗親,4.3,文化,中華文化、風俗
港超成立至今只有三隊獲得冠軍，包括各自奪冠一次的東方及大埔，以及奪冠次數最多，共計奪得5個冠軍的哪支球隊？,傑志 Kitchee,4,運動,團體球類
意思指賭博或者投資中，以低成本獲得豐厚利潤，請問這一個字面意思是用一把小刀斬樹的廣東話俗語是？,刀仔鋸大樹,6,語言,諺語、俗語
香港有三間院校於1994年同時升格成為大學，請問它們分別是香港城市大學、香港理工大學，以及哪一所位於九龍塘的大學？,Hong Kong Bapist University 香港浸會大學,3.8,生活,企業團體
於對聯中用作概括全副對聯，請問這個寫於對聯上面的短句為？,橫批,4.5,文學,中文文學（近代、現代）
這個詞語同時是梁釗峰其中一首歌的歌名，請問這個會在文學或者音樂作品中，因為作者姓名不明，而填上的中文詞語是？,佚名,3.8,語言,中文
中國北京天安門上現時懸掛著中共政治標語，當中懸掛於毛澤東像以左之標語為「中華人民共和國萬歲」，而懸掛於毛澤東像以右之標語則為？,世界人民大團結萬歲,0,社會,社會Crossover
1953年時是簽署停戰協定的地點，現在有限度開放觀光，位於南北韓邊境的非軍事區是？,板門店 Panmunjom,5.2,地理,地理Crossover
可以指煩擾、小蟲子，亦可指電腦程式中的漏洞，請問這個英文詞語是？,Bug,2.8,語言,英文
在藏語中是世界母神及大地母神的名稱，海拔高8848米，全世界最高的山峰是？,珠穆朗瑪峰 Chomolungma,0,地理,大中華地區
《太陽依舊升起》、《戰地鐘聲》、《老人與海》，這些小說都是由哪個美國作者所著？,海明威 Ernest Miller Hemingway,5,文學,西方文學
生於1948年11月14日，八十年代曾被列為港督人選之一，1997年時曾主持香港主權移交儀式，經歷二度婚姻，曾為全球在位時間最長皇儲，最終於2022年9月8日登基為皇。請問此位現任英皇是？,查理斯三世 Charles III,4,社會,政治
這個單位是某時間內通過導體橫截面電荷量的量度單位，符號是 A。請問這個國際單位制中的其中一個基本單位是？,安培 Ampere,4.5,理科,化學
在香港，這個時段由夜晚7點到11點，請問這個電視收視率最高的時段會稱為？,黃金時段,3,娛樂,映視劇集
《Lion Heart》、《The Boys》、《Gee》等都是哪一個SM娛樂旗下的女子團體的作品？,少女時代 Girls’ Generation,5.4,娛樂,其他流行音樂
由J·M·巴里創作，帶領「遺失男孩」在夢幻島冒險，性格豪邁奔放、充滿好奇心、具有飛行能力，而且永遠都不會長大，請問這位角色是？,Peter Pan 彼得潘,4.5,文學,西方文學
於糖中加入水或牛奶製成，通常用於覆蓋或裝飾烘培食品，在英文俚語中，將其放在蛋糕之上的意思等同錦上添花。請問這種食材是？,Icing 糖霜,4,生活,飲食
在競技體操中，尤爾欽科跳、李小鵬跳、程菲跳都是哪一個項目的動作？,跳馬 Vault,0,運動,個人非球類
於香港，五育指關於五種不同面向之教育，分別為德育、智育、體育、群育以及？,美育,2,社會,倫理、哲學
由村上春樹所寫，於1987年出版，書名取自 Beatles 的一首歌。請問這本村上春樹最知名嘅愛情小說是？,挪威的森林 Norwegian Forest,5,文學,東方文學
由中國近代翻譯家嚴復所提出，又稱為「三難原則」的翻譯理論，是指哪個由三個字組成的原則？,信、達、雅,5,文學,文學（其他）
當初為了療養腳傷於軍靴上加上皮革和氣墊作改良，由二次大戰時的納粹德軍軍醫克勞斯·馬汀設計，它的特色是鞋子側緣的黃色縫線和名為「彈跳鞋墊」的氣墊鞋底，請問這個皮鞋品牌是？,馬汀大夫 Dr. Martens,5.4,生活,服飾、時尚
創立於1960年代中期，於香港有約三十所學校提供，學生須從六類科目中各選修一科並完成三大核心科目要求，考生最高可獲45分，請問此於全球157個國家或地區有提供、獲國際認可之預科文憑是？,國際文憑預科課程 International Baccalaureate Diploma Programme (IBDP),5,社會,社會（其他）
燕瘦環肥意指即使女性體態不同，但各有各的美麗，當中燕瘦指趙飛燕，那麼環肥指哪位唐代美女？,楊玉環,5,語言,成語
此運動項目分為男女子街頭賽及公園賽，為2020年東京奧運新增項目之一，請問這項利用一塊裝有兩排輪子的木板來進行的運動是甚麼？,滑板 Skateboard,0,運動,個人非球類
用途是掩藏冷氣槽、燈槽、水管、電線等，請問這個遮蓋住真正的天花板的東西是？,假天花,0,,生活
於電視節目《歡樂今宵》中飾演「大眼雞」成名，曾出演劇集《烈火雄心》、《封神榜》、《水髮胭脂》、《940920》等。請問此位於今年11月10日因心臟病離世的甘草演員是？,余子明,0,娛樂,映視劇集
在香港，由於人口老化，不少學校因為收生不足而被政府收回營運權，請問這種動作會稱為？,殺校,3,社會,法律
三家分晉是指三個士大夫家族瓜分晉國的歷史事件，請問三家分別是指韓、趙以及？,魏,6,歷史,中國史（～魏晉南北朝）
於林家謙歌曲《doodoodoo》及張敬軒歌曲《櫻花樹下》中均有提及，1980年末開幕，由吿羅士打大廈、公爵大廈及約克大廈組成，英文名為「The Landmark」的建築物是？,置地廣場,4,地理,香港
在嚴重急性呼吸系統綜合症的英文簡稱 SARS 中，第一個 S 代表 Severe，A 代表 Acute，R 代表 Respiratory，那麼第二個S代表甚麼？,Syndrome,4.6,理科,醫學、衛生
本名鐵木真，於13世紀初建立大蒙古國，版圖橫跨歐亞兩大洲的人物是？,成吉思汗 Genghis Khan,3.6,歷史,世界史（近世）
劇名原文出自匈牙利諺語，由新垣結衣和星野源主演，於TBS電視台播出的劇集是？,逃避雖可恥卻有用,5,娛樂,映視劇集
它是 Microsoft Word 一項內置的功能，曾出現在多個網絡迷因裏面，因為能夠製作出簡單的設計，而被用作嘲笑平面設計師，請問它是？,文字藝術師 WordArt,3.8,,數學、電腦科學
有血、毛、草、官等分類，主要由金絲燕用絨毛、植物纖維混合唾液硬化而成，華人傳統相信有豐富營養的食材是？,燕窩,3.2,生活,飲食
當一個住宅單位窗口向西，下午由於日光直射，氣溫會較高，在廣東話會怎樣稱呼？,西斜,4,,生活
這項運動用到的主要道具稱為Stone，隊長稱為Skip，因講求策略而被稱為「冰上西洋棋」的運動是？,冰壺 Curling,5.2,運動,運動（其他）
這個節目令游莨維獲得「一蚊Joe」的稱號，請問這個參加者從二十六個夾萬中選擇一個，並決定是否接受銀行家出價的遊戲節目是？,一擲千金 Deal or No Deal,7,,
這個人物現時可比喻懂得發掘人才的人，請問這位中國春秋時代擅長飼養及評價馬匹的人是？,伯樂,5.2,,
在香港天文台的警告訊號中，累計發出次數最少的是海嘯警告，那麼累計發出次數最多的是？,雷暴警告 Thunderstorm Warning,5.2,,
它的大小介乎「兩對」及「蛇」之間，請問這個指有三張牌相同，而另外兩隻牌不同的撲克牌術語是？,三條 Three of a Kind,4.4,,遊戲（其他）
巧克力、馬鈴薯、泰迪、西羅摩、阿比，請問以上都是哪一個日本兒童動畫節目的角色？,PUI PUI 天竺鼠車車,4.2,,
是中國傳統婚姻習俗，指將未成年少女送往去另一個家庭撫養，少女長大後就會同該家庭的兒子結婚，請問這種習俗稱為？,童養媳,6.5,,中華文化、風俗
曾為「英皇三小花」之一，郭偉亮的妻子，在台灣網絡上因讀音相同而經常被用以比喻「業務配合文章」的人是？,葉佩雯,4.8,,娛樂（其他）
在電腦版瀏覽器 Chrome 中，縮放比例最小可以到25%，那麼最大可以到多少？,500%,6.2,,生活
越南第二大姓是陳，請問越南第一大姓，同時是越南最後一個王朝的國姓是什麼？,阮,5,,其他語言
它表示一間公司的財務報表真確、合理，請問這種由核數師發出，列於核數報告上的意見是？,無保留意見 Unqualified Opinion,7,,
2016年，熱普城派出五人參選立法會，最後只有一人當選，請問他是？,鄭松泰,6,,政治
蘇聯時代的城市史太林格勒現時稱為伏爾加格勒，那麼當時同樣有蘇聯領導人名字在內的列寧格勒，是現時哪座城市的名稱？,聖彼得堡 Saint Petersburg,7,,歐洲
香港在離島區有兩間醫院，分別是1934年啟用的長洲醫院，及2013年啟用的哪間醫院？,北大嶼山醫院 North Lantau Hospital,5,地理,香港
港鐵海洋公園站的英文名是 Ocean Park，那麼迪士尼站的英文名是？,Disneyland Resort,5.4,,香港
在北半球，熱帶氣旋右半圓的風向與前進方向相同，令風速疊加，稱為危險半圓；那麼風向與前進方向相反，令風速抵銷的左半圓稱為什麼？,可航半圓 Navigable Semicircle,8.6,,
孔子曾讚揚他能「用之則行，舍之則藏」、「不遷怒，不貳過」，請問這位一般被視為孔子最得意的門生的人是？,顏回,4.6,,中文文學（古典）
逝世時年僅21歲，逝世後獲毛澤東題詞，被樹立為中國建國初期熱心助人精神的象徵，請問他是？,雷鋒,4,,中國史（清末～）
蔣經國曾推出「三不政策」，請問「三不」是指不接觸、不談判以及什麼？,不妥協,6,,
根據香港法例，小巴車速上限為每小時80公里，請問巴士的車速上限為？,每小時70公里,6,,交通
它是電腦變量的一種類型，一般只有兩種可能值，分別是「True」以及「False」，請問它是？,布林 Boolean,5,,數學、電腦科學
混合中藥、香料和排骨熬製而成，在馬來西亞及新加坡普及，通常用閩南話稱呼的湯是？,肉骨茶 Bak Kut Teh,3.4,生活,飲食
是源自台灣的網絡用語，可以用來指「霸氣」或「白痴」，請問這個兩位數是？,87,4,,
全壘打、消防喉轆、心跳率、人力資源，請問以上的簡稱都是哪兩個英文字母？,HR,3,,語言Crossover
現址為商場佐敦薈，請問這個在1996年發生五級大火而拆卸的商場是？,嘉利大廈 Garley Building,6,,時事
被稱為「永遠的軍中情人」，歌曲在上世紀七、八十年代廣泛傳播，請問這位演出歌曲包括《但願人長久》、《月亮代表我的心》的歌手是？,鄧麗君,3,,其他流行音樂
這個廣東話詞語原指球賽的開始或者發球，亦可泛指一件事件的開始。請問這個詞語是？,開波,3,語言,廣東話
這個英文詞語有以下意思：國家、陳述、狀態，亦可指美國的州份，請問它是？,State,3,,英文
晴王、貓眼、香印、巨峰，請問以上都是哪一種水果的種類？,提子,2.6,,
「頭懸樑、錐刺股」是兩個人物的事跡，前半句是孫敬的事跡，那麼後半句是誰的事跡？,蘇秦,3,,
秦末鉅鹿之戰中，項羽率領全軍渡河攻擊秦兵時，為了讓將士不會退卻，戰鬥到底，下令打破鍋具及鑿穿船隻。請問這件事是哪一個四字成語的典故？,破釜沉舟,3.2,文學,中文文學（古典）
在道教和中國民間傳說中，它位於地獄忘川河上，鬼魂在喝孟婆湯後便會經過它投胎，請問這條橋是？,奈何橋,4.2,,中華文化、風俗
黑死病所指的是鼠疫，那麼白死病所指的是哪種可感染肺、淋巴、骨髓等部位，透過空氣傳染，由一種桿菌造成的疾病？,結核病 Tuberculosis,6.2,理科,醫學、衛生
袁方、荀彧、賈詡、郭嘉、周瑜、龐統、諸葛亮，以及一名未露面的角色，請問以上八位漫畫《火鳳燎原》人物合稱什麼？,水鏡八奇,7.4,,動漫畫
它是香港一間財務公司的名稱，也是《水滸傳》裏宋江的綽號，請問這個指適時到來的幫助的三字詞語是？,及時雨,3,,中文
香港500元紙幣俗稱「啡牛」或「大牛」，那麼1000元紙幣俗稱甚麼？,金牛,2.6,語言,廣東話
這個廣東話俗語原本指警察擗【音：劈】低佩槍，選擇辭職，請問這個後來引伸至員工主動辭職的廣東話俗語是？,劈炮,4.5,,諺語、俗語
這種觀念指養育後代，期望他們在自己年老後會照顧、供養自己，請問是？,養兒防老,4.2,,中華文化、風俗
這種花象徵高雅純潔，在天主教中象徵聖母瑪利亞，在同人文化裏則象徵女性之間的親密關係。請問這種花是？,百合,3,,動植物
它是一種手槍的類型，亦用來比喻香港立法會選舉期間，一些老人家手掌中寫有候選人編號的情況。請問這個詞語是？,掌心雷,3,,廣東話
又譯作撒羅滿、蘇萊曼，是大衛王的兒子，請問這位被認為是智慧化身的以色列國王是？,所羅門王 King Solomon,5,,世界史（古代～中世）
它由干比亞藻這種海洋生物產生，人進食珊瑚魚可能因這種毒素導致中毒，請問是？,雪卡 Ciguatera,6.6,,醫學、衛生
由於汽車在轉彎時，兩側車輪所移動的距離不同，因此需要這個裝置來讓兩側車輪以不同的速率旋轉，請問它是？,差速器 Differential,6.8,,理科（其他）
相等於200毫克，請問這個常用於量度鑽石等寶石的質量的單位是？,克拉 Carat,3,,服飾、時尚
如果想入讀日本的頂尖大學，這個數值可能需要達到約70。請問這個主要在日本使用，與成績排名相關的數值是？,偏差值,5,,
在邏輯學上它與原命題等價，請問這種把逆命題及否命題結合的命題是？,逆否命題 Contrapositive,7.2,,倫理、哲學
她是中國戰國時代齊宣王的王后，樣貌醜陋但賢能，相傳齊宣王有事時懇求她解決問題，沒事時則寵幸美女夏迎春，請問這個同時是謝安琪一首歌歌名的人物是？,鍾無艷,5,,中國史（～魏晉南北朝）
請接續以下六祖慧能的佛偈的最後五個字：「菩提本無樹，明鏡亦非臺。本來無一物」,何處惹塵埃,5,,中文文學（古典）
又稱為「日本帝國關東軍防疫給水部」，由石井四郎帶領，請問這個二次大戰時於中國進行人體實驗，並從事細菌戰的部隊是？,731部隊,7.7,,世界史（近現代）
別稱十月節，起源於1810年，當時是為慶祝路德維希王子的婚禮而舉辦，請問這個每年於慕尼黑舉辦，以一種酒精飲品命名的節日是？,慕尼黑啤酒節,6,,其他文化、風俗
二分說、飛箭不動、阿基里斯追烏龜，請問以上悖論都是由誰創作？,芝諾 Zeno,6.2,,倫理、哲學
為免舊式陰極射線管螢幕出現磷質烙印現象，而在電腦一段時間內無人使用時，在螢幕上展示移動的圖案等的程式稱為？,螢幕保護程式 Screensaver,4.6,理科,科技、資訊科技
在大部分香港麻雀的設計中，幾乎所有萬子的數字均使用小寫，只有一隻使用大寫，請問是？,伍萬,4,,遊戲（其他）
《鍍金時代》、《乞丐王子》、《湯姆歷險記》等著作，都是由哪一位美國著名演說家、幽默大師所編寫？,馬克吐温 Mark Twain,5.2,,西方文學
代表作品有《將軍吟》、《芙蓉鎮》、《我們仨》等，指在中國文革結束後，回顧文革為人帶來的傷痛、反思國家前途等文學作品的題材統稱為？,傷痕文學,7,文學,中文文學（近代、現代）
請問把公里每小時轉化為米每秒，需要把數值除以多少？,3.6,5.2,,數學、電腦科學
指在中國網購平台上搶購商品，也是電子遊戲術語，指一招打敗對手，請問這個二字詞語是？,秒殺,3.8,,諺語、俗語
請問最近一百年發生過震級最大的地震是發生在哪個國家？,智利 Chile,6.4,,地球科學
這個四字成語比喻中共曾經存在的一個潛規則，指政治局常委67歲可以留任，滿68歲則需退任。請問這個原本指心情忐忑不安的成語是？,七上八下,6.4,,政治
在香港五、六十年代，一些戲院在下午五點半會以較低的價錢播放電影，請問這個場次稱為什麼？,公餘場,7,,生活
別稱加里曼丹島、波羅島，由印尼、馬來西亞及汶萊三國分別管轄，請問這個世界第三大島是？,婆羅洲 Borneo,5,,東南亞
由 Tony Wheeler 夫婦創立，是世界規模最大的旅遊指南出版社，請問這一個總部位於澳洲的私人旅遊指南出版社是？,Lonely Planet,6.3,,生活（其他）
這個節目參加者的獎金以演唱時間計算，每秒港幣100元，出局前演唱時間最長的參賽者成為當日優勝者。請問這是哪一套TVB於2005年起播出的節目？,殘酷一叮,4.8,娛樂,映視劇集
解釋是「不適合多數廣告客戶」，一般因為影片涉及敏感議題或畫面，而在 Youtube 裏表示盈利功能受限的標誌是？,黃標,5,,流行文化
一個網絡文章平台的名稱，亦可指方法、介質、媒介、中等，請問這個英文詞語是？,Medium,3.6,,英文
由正房、東西廂房、倒座房組成，房屋從四面包圍庭院，請問這種傳統中式建築是？,四合院,5,,生活
請問在同一天的早上六時至下午六時期間，時鐘的時針和分針會重疊多少次？,11,5.6,,生活
《三面形醫》、《來生不做香港人》、《警界線》、《選戰》等都是哪一間電視台的劇集？,香港電視 HKTV,5.8,,
因嬰兒吃奶的時候容易吸到太多空氣，為避免嘔奶，家長一般會輕輕拍打嬰兒的背部，讓嬰兒把空氣吐出，請問這種方法稱為什麼？,掃風,4.2,,中華文化、風俗
其名字源自拉丁文的「轉動之人」，最初被崇拜為豐收和生殖女神，後來漸漸演變為羅馬神話中的幸運女神是？,Fortuna 福耳圖娜,7.8,文學,世界神話
在當地語言中是「跳蚤」的意思，有 Soprano、Concert、Tenor 等分類，起源於夏威夷的四弦弦樂器是？,烏克麗麗 Ukulele,4.8,娛樂,樂理、樂器
發生於慶應三年，請問這個指幕府將軍德川慶喜主動將政權交還給日本天皇的事件是？,大政奉還,7,,世界史（近現代）
做筆記時，標記要翻頁時會用到簡寫記號 PTO，請問其全寫是甚麼？,Please Turn Over,5.2,語言,英文
於1972年開幕，位於北角。請問這個香港的大型粵劇表演場地是？,新光戲院,5.5,,香港
MV 開首是女主角問「食咗嘢未」，男主角回答後，女主角其後再說「我想分手」。請問這首由林家謙主唱的歌曲是？,下一位前度,4.8,,廣東流行音樂
在香港，這種行為違反競爭條例。請問這種指招標者不知情的情況下，多名投標者合作，令其中一個合謀者中標的行為稱為？,圍標 Bid Rigging,2.8,,生活
請問在明、清兩朝的科舉考試之中，指定要使用的文體稱為什麼？,八股文,4,,中華文化、風俗
這個詞語在歌曲《網絡安全隱患》裏有出現，它是欖球術語，是一種得分方式，指球員在對方得分區內將球觸地。請問是？,達陣,5,,
這個四字詞又被稱為「先上車後補票」，是指一對伴侶礙於面子或道德責任等，因意外懷孕而提早結婚，請問是？,奉子成婚,3,,
請問中國歷史上的「戰國七雄」是指韓、趙、魏、楚、燕、齊以及統一中原的哪一個國家？,秦 Qin,2,歷史,中國史（～魏晉南北朝）
在排球賽事中，每隊會派六人上場比賽，那麼沙灘排球賽事中，每隊會派多少個人上場比賽？,2,4,運動,團體球類
在賭博中，主持賭局的人稱為莊家，請問其他參與賭局的人稱為？,閒家,3.7,文化,流行文化
波希戰爭是指兩個古文明之間的戰爭，其中波是指波斯，那麼希是指哪個文明？,希臘,4,歷史,世界史（古代～中世）
位於新界西貢區東南部，80年代發展為新市鎮，用作紫色港鐵線名稱的地方是？,將軍澳 Tseung Kwan O,2.6,地理,香港
《+》、《X》、《÷》、《=》都是哪位英國歌手推出的唱片？,Ed Sheeran,6,娛樂,其他流行音樂
位於美國內華達州，區內設有一個秘密軍事基地，請問這個被人認為和研究外星人、UFO有關的區域？,51區,5.5,文化,其他文化、風俗
位於中國和北韓的邊境，山頂有一個稱為天池的火山口湖，被韓國人視為民族起源的山是？,長白山,5.7,地理,亞洲
在成語「管鮑之交」中，「管」是指管仲，那麼「鮑」措誰？,鮑叔牙,5,語言,中文
曾經以英國陸軍軍醫身份派駐阿富汗，後來因傷退役，居住在必嘉街221號B，在小說福爾摩斯系列中登場的角色是？,約翰·華生 John Watson,6,文學,西方文學
v flower、IA(yi1 aa4)、洛天依、鏡音鈴、初音未來都是哪一個語音合成軟件的虛擬歌手？,VOCALOID,4.4,娛樂,其他流行音樂
東漢末年發起黃巾之亂之道教流派、一條位於九龍何文田之街道、香港歌手周國賢2022年度第三支派台歌曲，都可以用哪個三字詞表達？,太平道,6,語言,語言Crossover
標誌包含梅花圖案，八十年代至千禧年代發生過多宗嚴重空難，台灣最大的民用航空公司是？,中華航空 China Airlines,6.2,生活,企業團體
於《多啦A夢》系列漫畫中，法寶「放大電筒」底部橫切面呈正方形，噉請問法寶「縮小電筒」底部橫切面係呈乜嘢形狀呢？,圓形,4,娛樂,動漫畫
「siu4」於網絡用語中意指「笑死」，請問「siu4」作為粵語拼音時應讀作？,韶,6,語言,廣東話
達爾文、狄更斯、牛頓、霍金都葬於這個地方，請問這個英國君主舉行加冕儀式及葬禮的地方是？,西敏寺 Westminster,5,地理,歐洲
後人評論東晉時有一句名言「王與馬，共天下」，其中王是指當時的名門王氏，那麼馬是指那一個晉代國姓？,司馬,4,歷史,中國史（～魏晉南北朝）
它是一位英國歌手的個人出道曲，在1988年登上25個國家的單曲榜榜首，在2008年YouTube愚人節活動使用的流行曲是？,Never Gonna Give You Up,3.2,娛樂,其他流行音樂
孔子認為這四個字是「人之大欲」，同時這四個字亦是香港一本已停刊的雜誌名稱，這本雜誌以介紹美食為主題，請問是？,飲食男女,6.2,文化,流行文化
於2010年上映，內容講述主角利用潛意識進入別人夢境竊取商業機密，出現夢中夢中夢情節的美國科幻電影是？,潛行凶間 Inception,4,娛樂,電影（美國）
新宿在日本是指東京的一個商業區，那麼新宿在中文大學是指哪一間位於崇基學院的宿舍？,利樹培堂,4.5,生活,生活
瑞典語、荷蘭語、德語、英語都屬於那一個語系？,日耳曼語 Germanic languages,6.5,語言,語言學
關楚耀、鄭俊弘、蔡卓妍、盧凱彤、林奕匡、馮允謙，請問以上香港歌手均出生於哪一個位於北美的國家？,加拿大 Canada,6,娛樂,娛樂Crossover
可以上太空但不需要操控太空船，而是在太空站做科學研究及試驗，2022年9月中國載人航天工程在港澳選拔的職位是？,載荷專家 Payload Specialist,6.6,社會,時事
馬場跑道可以分為兩種，請問它們分別是草地跑道以及哪一種正式名稱為全天候跑道的跑道？,泥地跑道 Dirt,5.5,運動,車輛、動物運動
曾經由成龍代言，仿製日本紅白機，以學習和娛樂為主要用途的九十年代電子產品是？,小霸王學習機,6,娛樂,遊戲（電子）
加多利灣、咖啡灣、三聖灣、蝴蝶灣、青山灣都位於香港哪一區？,屯門,4.7,地理,香港
短號、小號、法國號、長號、低音號，以上都屬於哪一個西洋樂器家族呢？,銅管樂器 Brass Instruments,5,文化,樂理、樂器
2021–22球季中，英格蘭超級足球聯賽之冠軍是曼徹斯特城，那麼法國甲組足球聯賽之冠軍是？,巴黎聖日耳門 Paris Saint-Germain FC (PSG),5,運動,團體球類
八十年代港台節目《三個小神仙》當中「三個小神仙」係指節目之三位主持人，分別係何嘉麗、林珊珊，以及何位暱稱「阿旦」之主持人？,鄭丹瑞 Lawrence Cheng,6,娛樂,娛樂（其他）
錢穆認為，人只要能達至某個境界，就有如永生不息，要達成此達界就要達到立功、立德、立言，即合稱為？,三不朽,6,社會,倫理、哲學
名稱在俄語中指「城中要塞」，鄰接無名烈士墓和紅場等景點，前蘇聯和俄羅斯的政府總部所在地是？,克里姆林宮 Kremlin,4,地理,歐洲
張天賦和洪嘉豪其中一首合唱歌曲以這個英文單字為歌名，請問這個解作亦敵亦友的英文單字是？,Frenemy,5,娛樂,廣東流行音樂
在中國的全國運動會中成為第一個田徑三連冠的選手，2004年雅典奧運110米欄項目的金牌得主是哪一位中國運動員？,劉翔 Liu Xiang,3.2,運動,個人非球類
以匚(音方)作部首加上3個口組成，在一般句子使用時會讀作區(Kui1)，但它作為姓氏時會讀甚麼？,區(Au1),2.6,語言,中文
過海段長超過1200公里，連接德國及俄羅斯，2022年9月尾有一部分被炸毁的天然氣管道系統是？,北溪(天然氣管道) Nord Stream,5.4,社會,時事
夏朝的亡國君主是桀，那麼商朝的亡國君主是？,紂,4.5,歷史,中國史（～魏晉南北朝）
太平山的英文是The Peak，那麼太平山街的英文是？,Tai Ping Shan Street,4.5,語言,英文
獎座的形象是一個手持長劍，站立在電影菲林卷上的騎士，請問這個電影界最高殊榮，由美國電影藝術與科學學院頒發的獎項是？,奧斯卡金像獎 Academy Award,2.8,娛樂,電影（其他）
韓國現代汽車一個生產豪華汽車為主的子公司、SEGA推出的一款遊戲機、《聖經》中的《創世紀》在英文都可以用哪一個詞語表示？,Genesis,4,社會,社會Crossover
日本動畫人物常見特徵之一，請問呢個指動畫角色頭上豎起咗一撮頭髮嘅特徵係？,呆毛 Ahoge,6,,動漫畫
古希臘哲學家蘇格拉底於公元前399年被雅典人處死，請問他的兩個罪名分別是褻瀆神靈以及甚麼？,荼毒青年,5,歷史,世界史（古代～中世）
改編自2012年深水埗通州街露宿者物品被政府清潔工丟棄事件，由吳鎮宇領銜主演，2021年上映的劇情片是？,濁水漂流 Drifting,5,娛樂,電影（香港）
世運花園、九龍醫院、先達廣場、朗豪坊都是沿着哪一條街道嘅建築物？,亞皆老街 Argyle Street,4.8,地理,香港
指一種香港未合法行走在道路上的電動交通工具，亦指華夏神話傳說中「紅孩兒」哪吒所用的法寶是？,風火輪,4.4,生活,生活
