question,A,B,C,D,answer,difficulty,topic,subtopic
哪種舞蹈源於阿根廷，以其熱情奔放、舞步複雜著稱？,華爾滋 (Waltz),探戈 (Tango),莎莎舞 (Salsa),佛朗明哥 (Flamenco),B,5.5,文化,文化（其他）
香港現存最古老的西式建築是哪一座？,聖約翰座堂,舊最高法院大樓（終審法院）,茶具文物館（旗桿屋）,香港大學本部大樓,C,8.4,歷史,香港史
經典物理學中，描述力、質量和加速度之間關係的定律是？,萬有引力定律,能量守恆定律,牛頓第二運動定律,歐姆定律,C,6.3,理科,物理學
"香港哪個地方的英文地名是 ""Mong Kok""？",旺角,油麻地,佐敦,太子,A,2.6,地理,香港
「五十步笑百步」這個成語出自哪本典籍？,《論語》,《孟子》,《莊子》,《戰國策》,B,7.9,文學,中文文學（古典）
在電腦操作中，組合鍵 Ctrl+C 通常用於執行甚麼操作？,剪下 (Cut),複製 (Copy),貼上 (Paste),復原 (Undo),B,2.1,理科,科技、資訊科技
香港哪個地方以其獨特的圓形公共屋邨勵德邨而聞名？,鰂魚涌,大坑,跑馬地,天后,B,4.7,地理,香港
米開朗基羅的著名雕塑《大衛像》現藏於哪個意大利城市？,羅馬,佛羅倫斯,威尼斯,米蘭,B,5.6,文化,立體藝術
香港的股票市場由哪個機構營運？,香港金融管理局,香港交易所 (HKEX),證券及期貨事務監察委員會,香港總商會,B,6.2,社會,商業、金融
當颱風吹襲香港時，香港天文台懸掛的最高熱帶氣旋警告信號是幾號？,八號,九號,十號,十二號,C,3.4,理科,天文學
香港哪個地方以其密集的廉價賓館和多元文化（尤其南亞裔）社群而常被稱為「小聯合國」？,重慶大廈,美麗都大廈,環球貿易廣場,國際金融中心,A,3.8,地理,香港
「一字千金」的典故與戰國時期哪位人物有關？,商鞅,呂不韋,李斯,屈原,B,7.3,歷史,中國史（～魏晉南北朝）
香港電車（叮叮車）的收費方式是？,按路程長短收費,劃一票價，下車付費,劃一票價，上車付費,分段收費，上車付費,B,2.6,地理,交通
哪種基本的味覺不是由舌頭上的味蕾感知的？,甜,酸,苦,辣,D,8.1,理科,生物學
香港哪個著名地標建築物頂部設計像一朵盛開的洋紫荊花？,香港會議展覽中心新翼,金紫荊廣場的洋紫荊花雕塑,中銀大廈,國際金融中心二期,A,3.6,地理,香港
成語「井底之蛙」比喻甚麼樣的人？,目光短淺、見識狹隘,謙虛好學,隨遇而安,隱居避世,A,2.9,語言,成語
香港連接機場與市區的主要鐵路線是？,東涌線,機場快線,屯馬線,東鐵線,B,3.1,地理,交通
哪種科學研究方法涉及在受控條件下操縱變數以觀察其效果？,觀察法,調查法,實驗法,個案研究法,C,5.8,理科,理科（其他）
香港哪座山峰是九龍半島的最高點？,獅子山,飛鵝山,大老山,慈雲山,B,6.7,地理,香港
中國第一位皇帝秦始皇的陵墓以甚麼陪葬品聞名於世？,金縷玉衣,司母戊鼎,兵馬俑,越王勾踐劍,C,3.3,歷史,中國史（～魏晉南北朝）
香港的公共屋邨外牆顏色設計獨特，呈現彩虹色彩的是哪個屋邨？,彩虹邨,坪石邨,順利邨,樂華邨,A,3.7,地理,香港
哪種樂器有88個琴鍵，通常用於演奏古典音樂和流行音樂？,小提琴,吉他,鋼琴,豎琴,C,2.2,文化,樂理、樂器
"香港哪個區域的英文名稱是 ""Central""？",中環,上環,西環,金鐘,A,1.9,地理,香港
「狡兔三窟」這個成語比喻甚麼？,兔子很狡猾,有多處藏身地點或有多種避禍方法,做事不夠光明磊落,比喻動作迅速,B,3.9,語言,成語
香港迪士尼樂園位於哪個行政區？,離島區,荃灣區,葵青區,屯門區,A,4.9,地理,香港
人體吸入的空氣中，氧氣最終在哪裡與血液進行交換？,氣管,支氣管,肺泡,鼻腔,C,5.3,理科,醫學、衛生
香港哪所大學的校徽圖案是一隻「鳳」？,香港大學,香港中文大學,香港科技大學,香港城市大學,B,6.2,生活,企業團體
「拔苗助長」這個成語比喻甚麼？,幫助植物生長,違反事物發展規律，急於求成反而壞事,做事有耐心,善於利用工具,B,3.7,語言,成語
香港常見的街頭小食「魚蛋」通常是用甚麼肉類製成的？,吞拿魚,沙甸魚,門鱔或九棍魚等雜魚,鱈魚,C,1.8,生活,飲食
電腦的中央處理器（CPU）常被比喻為電腦的甚麼？,記憶體 (Memory),硬碟 (Hard Drive),大腦 (Brain),顯示卡 (Graphics Card),C,4.6,理科,科技、資訊科技
香港哪個海灘以其風浪較大，適合進行滑浪風帆等水上活動而聞名？,淺水灣,石澳泳灘,大浪灣（石澳）,長沙泳灘,C,5.9,地理,香港
香港哪條行車天橋是香港島最長的高架道路？,東區走廊,西九龍走廊,觀塘繞道,港島東區走廊,D,7.1,地理,交通
哪種物理現象解釋了彩虹的形成？,光的反射,光的折射和色散,光的衍射,光的干涉,B,5.5,理科,物理學
香港哪個地方是著名電影《重慶森林》的重要取景地之一，尤其中環至半山的自動扶梯？,蘭桂坊,蘇豪區,廟街,尖沙咀,B,4.2,娛樂,電影（香港）
成語「班門弄斧」是用來比喻甚麼？,技藝高超,在專家面前賣弄本領，不自量力,謙虛求教,形容建築技術精湛,B,4.8,語言,成語
香港國際機場（HKG）有幾條跑道？（截至2025年初）,一條,兩條,三條,四條,C,6.7,地理,交通
以下哪種物品主要利用了槓桿原理？,螺絲批,剪刀,滑輪,斜面,B,5.1,理科,物理學
香港哪個離島以其寧靜的環境和沒有汽車行駛（除小型服務車輛外）而吸引遊客？,長洲,南丫島,坪洲,東龍洲,C,3.4,地理,香港
《紅樓夢》的作者是誰？,羅貫中,施耐庵,吳承恩,曹雪芹,D,4,文學,中文文學（古典）
以下哪種樂器通常被認為是管弦樂團中音域最低的銅管樂器？,小號 (Trumpet),長號 (Trombone),法國號 (French Horn),低音號 (Tuba),D,7.5,文化,樂理、樂器
"香港哪個地區的英文縮寫是 ""TST""？",荃灣 (Tsuen Wan),將軍澳 (Tseung Kwan O),尖沙咀 (Tsim Sha Tsui),天水圍 (Tin Shui Wai),C,2.3,地理,香港
「胸有成竹」這個成語原指畫家畫竹之前，心中已有竹子的形象，比喻甚麼？,內心正直,事前已有完整的計畫或想法,記憶力好,虛懷若谷,B,4.5,語言,成語
香港連接港島西區和昂船洲的大橋是？,汀九橋,青馬大橋,汲水門大橋,昂船洲大橋,D,7.8,地理,交通
哪種自然現象是火山噴發時流出的熔融岩石？,火山灰 (Volcanic Ash),熔岩 (Lava),火山彈 (Volcanic Bomb),浮石 (Pumice),B,3.9,理科,地球科學
成語「囫圇吞棗」比喻學習時怎樣？,學習速度快,不加分析，不求理解地籠統接受,基礎扎實,善於總結,B,4.7,語言,成語
植物的哪個部分主要負責吸收水分和礦物質？,葉 (Leaf),莖 (Stem),花 (Flower),根 (Root),D,2.1,理科,生物學
香港哪個地區以其密集的印刷店和相關服務聞名？,中環,灣仔,上環（文咸西街一帶）,觀塘工業區,C,5.3,地理,香港
中國古代的「科舉制度」主要用於選拔甚麼人才？,商人,工匠,官員,士兵,C,3.8,歷史,中國史（隋～清中葉）
香港哪條街道是著名的「玉器市場」所在地？,廣東道（油麻地段）,上海街,廟街,新填地街,A,4.2,地理,香港
哪位畫家是超現實主義的代表人物，以其融化的時鐘等奇幻畫作聞名？,畢加索,馬諦斯,達利,米羅,C,6.7,文化,平面藝術
香港負責處理市民對政府部門服務投訴的獨立法定機構是？,廉政公署 (ICAC),申訴專員公署,平等機會委員會,個人資料私隱專員公署,B,7.1,社會,政治
地球內部溫度最高的部份是？,地殼 (Crust),地幔 (Mantle),外核 (Outer Core),內核 (Inner Core),D,2.6,理科,地球科學
香港哪個傳統圍村以其獨特的鑊耳屋建築風格而著名？,吉慶圍（元朗）,曾大屋（沙田）,上水圍,三棟屋（荃灣）,B,5.9,文化,中華文化、風俗
哪種運動需要運動員在冰面上穿著冰鞋，利用冰球棍將冰球打入對方球門？,冰壺 (Curling),冰球 (Ice Hockey),速度滑冰 (Speed Skating),花式滑冰 (Figure Skating),B,1.4,運動,團體球類
香港哪個地方以其「姻緣石」而聞名，相傳可以祈求美滿姻緣？,黃大仙祠,灣仔峽公園（寶雲道）,太平山頂,龍虎山,B,4.8,文化,中華文化、風俗
成語「守株待兔」比喻甚麼？,堅持不懈，終會成功,不主動努力，只想僥倖得到成功,善於等待時機,形容人很專注,B,2.9,語言,成語
香港哪條隧道連接九龍油麻地和新界沙田？,獅子山隧道,大老山隧道,尖山隧道及沙田嶺隧道,將軍澳隧道,C,5.6,地理,交通
以下哪種顏色不屬於可見光光譜（彩虹的顏色）？,紅色,橙色,紫色,黑色,D,3.1,理科,物理學
香港哪個地區因其靠近舊啟德機場跑道，居民曾飽受飛機噪音滋擾而聞名？,九龍塘,九龍城,紅磡,土瓜灣,B,2.3,地理,香港
中國四大名著之一的《西遊記》，其作者一般認為是誰？,羅貫中,施耐庵,吳承恩,曹雪芹,C,3.6,文學,中文文學（古典）
「GPS」是全球定位系統的縮寫，請問字母「P」代表甚麼？,Place,Positioning,Point,Planet,B,1.8,理科,科技、資訊科技
香港哪個區域以其沿海的海鮮酒家林立而聞名？,西貢,鯉魚門,流浮山,以上皆是,D,2.7,地理,香港
莫奈、雷諾瓦等畫家屬於哪個藝術流派？,古典主義,浪漫主義,印象派,立體派,C,5.2,文化,平面藝術
根據香港《基本法》，香港特別行政區的行政長官任期為多少年？,四年,五年,六年,七年,B,3.3,社會,政治
